"time","acc_x","acc_y","acc_z","w_x","w_y","w_z","ang_x","ang_y","ang_z","label"
"155.726","1.04","0.173","-0.122","0.06","-0.31","-0.31","121.37","72.48","41.08","1"
"157.73","1.04","0.173","-0.122","-0.37","-0.67","-0.37","122.4","72.23","39.97","1"
"161.725","1.041","0.169","-0.126","-0.61","-0.85","-0.43","122.29","72.2","39.97","0"
"163.729","1.041","0.17","-0.114","0.0","0.85","-0.24","123.38","71.96","38.73","1"
"165.691","1.033","0.158","-0.211","0.92","-1.22","-0.12","122.61","72.29","39.75","1"
"167.707","1.047","0.115","-0.288","0.0","-0.98","-0.37","121.44","72.6","41.5","3"
"169.71","1.004","0.173","-0.332","-1.04","-10.8","0.37","129.07","71.15","34.18","3"
"171.694","1.04","0.151","-0.189","15.93","1.71","-5.43","153.31","68.65","14.73","3"
"173.681","1.039","0.149","-0.166","-5.31","12.02","1.89","152.43","62.81","22.29","0"
"175.663","1.04","0.157","-0.144","-0.92","0.85","-0.67","137.35","70.59","32.76","0"
"177.683","1.04","0.154","-0.167","-0.31","-0.73","-0.43","132.91","71.45","35.68","0"
"179.646","1.029","0.161","-0.255","0.0","0.43","-0.43","128.86","72.37","39.57","0"
"181.648","1.02","0.179","-0.282","-0.61","-0.37","-0.37","132.79","71.31","35.75","0"
"183.66","1.021","0.179","-0.272","-5.62","-3.11","0.43","139.26","65.68","23.74","0"
"185.655","1.033","0.166","-0.206","-0.43","-0.98","-0.31","139.16","66.17","23.72","0"
"187.655","1.038","0.169","-0.153","0.49","-0.12","-0.31","139.3","66.42","24.19","0"
"189.64","1.037","0.167","-0.167","-3.42","6.9","-0.49","134.24","68.94","29.97","0"
"191.621","1.022","0.162","-0.161","-0.24","-0.67","-0.24","128.75","71.35","38.67","0"
"193.609","1.036","0.167","-0.155","-0.85","-0.43","-0.43","131.0","70.87","36.54","0"
"195.616","1.038","0.164","-0.16","-1.4","-0.55","-0.73","130.17","71.06","37.22","0"
"197.613","1.041","0.167","-0.139","0.49","-1.04","-0.31","129.07","71.54","38.46","0"
"199.614","1.038","0.168","-0.142","-0.37","-0.55","-0.43","129.97","71.2","37.67","0"
"201.596","1.04","0.162","-0.142","0.0","-0.92","-0.31","126.85","72.06","41.36","0"
"203.596","1.041","0.163","-0.132","-0.67","1.16","-0.31","128.43","71.82","40.2","0"
"205.576","1.039","0.161","-0.143","-0.98","1.71","-0.37","127.98","72.0","40.15","0"
"207.561","1.039","0.159","-0.139","-0.24","-0.79","-0.31","126.86","72.3","41.6","0"
"209.589","1.023","0.176","-0.197","-0.31","-0.37","-0.37","128.51","71.88","39.72","0"
"211.551","1.032","0.171","-0.239","-0.49","-1.34","-0.37","128.33","72.05","40.05","0"
"213.565","1.021","0.161","-0.272","-1.46","-5.0","-0.06","131.99","69.63","33.11","0"
"215.537","1.02","0.18","-0.249","0.98","-0.06","-0.12","137.31","67.3","26.39","0"
"217.561","1.041","0.155","-0.196","2.75","-2.32","-1.65","139.47","67.19","26.08","0"
"219.544","1.037","0.164","-0.156","6.41","5.98","-1.89","148.78","67.29","23.74","0"
"221.515","1.041","0.16","-0.098","-0.85","-1.22","-1.46","131.78","71.08","34.85","0"
"223.555","1.042","0.164","-0.086","-0.06","-0.49","-0.43","129.12","71.5","37.27","1"
"225.506","1.042","0.162","-0.096","-3.6","-2.26","-0.67","121.61","73.54","47.53","1"
"227.532","1.042","0.162","-0.093","0.0","-1.28","-0.12","119.64","73.6","49.39","1"
"229.514","0.953","0.384","-0.352","-0.79","0.61","-0.37","121.55","73.28","47.64","1"
"231.487","1.023","0.014","-0.255","-0.79","-0.79","-0.49","121.27","73.32","48.15","3"
"233.496","1.005","0.099","-0.144","31.25","11.84","14.1","129.49","62.02","24.16","3"
"235.505","0.987","0.125","-0.353","4.88","17.33","-5.92","154.08","69.37","35.68","3"
"237.481","1.024","0.181","-0.258","38.51","-7.87","-13.73","152.56","70.68","21.55","3"
"239.508","1.041","0.182","-0.164","-29.05","-4.52","8.3","151.57","67.85","38.88","0"
"241.46","1.041","0.184","-0.139","-6.23","-2.2","-1.04","142.38","66.6","34.1","0"
"243.494","1.038","0.185","-0.126","-0.49","3.23","-1.28","128.63","70.76","46.04","0"
"245.447","1.039","0.183","-0.121","-0.18","-0.85","-0.37","127.14","71.09","49.24","0"
"247.452","1.038","0.183","-0.132","1.22","-0.31","-0.37","126.35","71.62","50.81","0"
"249.438","1.039","0.183","-0.125","-1.04","1.22","-0.37","125.44","71.57","51.39","0"
"251.43","1.002","0.094","-0.376","-0.18","0.18","-0.61","127.2","71.23","49.99","0"
"253.42","1.023","0.067","-0.312","0.49","-1.16","-0.37","126.03","71.53","51.34","3"
"255.456","1.066","0.11","-0.214","-51.94","4.7","-1.95","150.96","66.1","27.94","3"
"257.406","1.034","0.157","-0.138","43.09","-7.45","-13.98","144.35","70.61","4.7","3"
"259.426","1.07","0.148","-0.295","-12.15","-12.33","-7.08","153.74","67.81","30.9","0"
"261.398","1.018","0.147","-0.274","-0.92","-2.62","-0.55","131.14","72.27","45.34","3"
"263.41","1.041","0.133","-0.16","-37.48","-1.04","21.06","116.67","67.15","19.85","1"
"265.425","1.042","0.141","-0.161","4.94","-0.24","0.06","127.25","70.1","11.43","1"
"267.395","1.042","0.137","-0.147","0.31","1.46","-0.18","125.99","72.75","28.83","0"
"269.394","1.042","0.156","-0.237","1.4","-1.1","-0.18","130.18","72.43","31.47","0"
"271.386","1.027","0.162","-0.252","-0.06","-0.18","-0.31","129.53","72.94","34.19","0"
"273.372","1.034","0.164","-0.222","-3.11","-5.74","-0.92","139.11","67.61","22.99","0"
"275.35","1.039","0.155","-0.171","-0.18","-0.98","-0.31","139.28","68.05","23.07","0"
"277.365","1.041","0.149","-0.162","-0.98","3.23","-0.24","138.18","68.51","23.7","0"
"279.34","1.04","0.151","-0.15","-0.12","1.1","-0.24","130.66","71.43","31.89","0"
"281.367","1.046","0.146","-0.055","0.12","0.06","-0.37","131.2","71.71","32.9","0"
"283.327","1.044","0.141","-0.087","1.16","-1.28","-0.06","129.61","72.32","35.54","1"
"285.328","1.043","0.142","-0.106","1.65","0.49","-0.18","115.4","75.48","51.75","1"
"287.323","1.038","0.146","-0.157","-0.37","-0.85","-0.31","122.48","74.56","45.18","1"
"289.334","1.04","0.15","-0.181","0.43","-0.98","-0.18","125.4","73.91","41.84","0"
"291.334","1.043","0.139","-0.083","0.67","-8.61","-0.73","129.28","72.8","37.53","0"
"293.319","1.044","0.141","-0.095","-4.52","5.55","0.31","134.46","70.37","29.0","1"
"295.305","1.039","0.083","-0.32","-1.28","-0.67","-0.43","121.78","74.67","44.71","1"
"297.296","1.08","0.085","-0.292","-0.31","-0.67","-0.43","122.61","74.37","44.18","3"
"299.299","1.022","0.181","-0.264","25.33","10.5","-17.15","163.38","65.23","26.67","3"
"301.316","1.042","0.167","-0.159","27.95","-6.9","0.79","165.88","65.24","36.14","0"
"303.294","1.039","0.207","-0.204","1.22","1.65","-0.61","147.3","65.64","38.78","0"
"305.266","1.029","0.176","-0.199","0.49","-4.7","-1.22","134.99","70.73","46.2","0"
"307.277","1.016","0.162","-0.238","-0.55","-2.62","0.73","137.27","68.65","40.18","0"
"309.258","0.908","0.295","-0.693","-3.3","0.92","0.61","135.97","68.87","38.29","0"
"311.24","0.545","0.359","-0.846","-2.38","-0.43","0.06","139.87","67.61","33.57","3"
"313.278","0.932","-0.148","-0.009","2.44","-14.71","-3.85","149.0","42.72","12.95","3"
"315.226","0.377","0.253","0.763","20.45","11.47","-11.54","151.81","27.39","-0.9","3"
"317.266","0.549","0.061","0.83","42.79","60.0","10.31","-124.32","80.54","-95.55","3"
"319.216","0.336","0.123","0.872","-30.09","26.98","45.78","26.56","25.41","136.6","3"
"321.243","-0.149","0.246","0.837","-12.57","18.25","38.21","17.76","36.04","154.94","1"
"323.222","0.01","0.027","0.953","-2.62","-1.1","1.1","11.69","26.5","-178.05","3"
"325.221","-0.242","0.346","0.882","-5.0","41.63","11.41","15.37","-3.45","-178.33","3"
"","","","","-3.17","1.83","0.18","6.55","4.31","168.02",""
