"time","acc_x","acc_y","acc_z","w_x","w_y","w_z","ang_x","ang_y","ang_z","label"
"53.19","-0.951","0.056","-0.132","0.61","1.89","-0.49","134.82","78.13","-94.17","2"
"55.173","-0.949","0.046","-0.125","0.18","0.37","0.0","135.14","78.34","-92.59","2"
"57.183","-0.949","0.046","-0.136","0.06","-0.24","-0.06","137.18","77.96","-90.4","2"
"59.155","-0.934","0.036","-0.259","1.83","-0.37","1.1","157.64","72.08","-71.37","2"
"61.134","0.101","-0.737","-0.715","78.25","-145.08","6.23","-149.15","-12.41","-31.47","2"
"63.147","0.02","-1.065","-0.258","-327.76","345.58","-242.98","-62.5","14.67","130.53","3"
"65.146","1.061","0.105","-0.106","-25.57","201.35","3.48","-173.38","-66.85","64.91","3"
"67.157","1.037","0.172","-0.043","1.04","-0.92","-0.18","137.4","-76.64","56.7","3"
"69.112","1.03","0.174","0.044","-0.98","1.04","0.06","98.63","-76.9","78.32","0"
"71.131","1.032","0.171","0.027","-0.43","-0.67","0.0","96.81","-76.14","74.84","0"
"73.086","1.032","0.175","-0.025","-2.32","-9.89","-0.06","106.35","-75.07","63.35","0"
"75.123","1.035","0.188","-0.045","-0.24","-0.31","-0.37","109.33","-74.09","58.4","3"
"77.107","1.028","0.18","0.004","0.12","7.75","0.18","96.79","-74.89","70.18","0"
"79.092","1.03","0.181","0.027","0.0","-0.55","0.0","94.55","-74.99","73.8","1"
"81.069","1.028","0.176","-0.03","-1.34","-5.37","-0.06","104.87","-74.54","64.18","1"
"83.092","1.037","0.175","-0.089","0.06","0.43","0.0","117.3","-73.62","49.6","0"
"85.043","1.027","0.177","0.018","3.17","8.79","0.31","93.34","-75.51","74.14","0"
"87.082","1.03","0.171","0.046","-0.67","1.59","0.12","91.38","-75.91","77.78","1"
"89.025","1.034","0.175","-0.059","1.16","4.88","0.31","115.87","-74.27","51.16","1"
"91.051","1.037","0.173","-0.062","0.43","-0.06","0.18","112.81","-74.51","54.41","0"
"93.024","1.032","0.17","0.01","2.01","8.48","0.61","95.36","-75.71","71.47","0"
"95.035","1.031","0.168","0.035","1.65","-0.55","0.24","92.54","-75.83","76.32","1"
"97.002","1.022","0.196","0.051","-3.3","56.58","-1.4","100.32","-74.93","68.42","1"
"99.031","1.042","0.112","0.011","23.68","1.53","-3.36","117.55","-80.35","63.26","3"
"100.994","0.988","0.39","-0.059","36.87","3.36","2.2","120.97","-73.34","124.42","3"
"103.016","1.007","0.333","-0.123","-4.7","6.53","1.22","135.36","-72.16","112.58","3"
"104.993","1.014","0.138","-0.293","-10.56","3.11","-1.4","170.69","-67.34","80.42","0"
"106.971","0.702","-0.075","0.37","108.76","74.22","80.32","-7.05","-60.13","167.78","3"
"108.952","0.202","0.046","0.961","16.54","-4.52","25.33","3.07","-17.92","-156.92","3"
"110.967","0.092","0.062","0.953","3.54","8.12","14.53","-1.79","-13.05","-107.33","3"
"112.933","0.16","0.067","0.932","-5.98","1.83","18.01","-0.16","-17.49","-115.81","3"
"114.951","0.161","0.049","0.946","13.24","-4.46","62.74","-3.21","-18.8","-126.38","3"
"116.95","0.479","-0.479","0.662","-21.91","-24.05","-227.42","-33.11","-10.04","84.96","3"
"118.925","0.223","-0.064","0.922","-69.52","32.1","-13.55","-3.94","0.27","76.58","3"
"120.917","0.22","-0.424","0.692","-3.54","42.24","34.0","-34.37","-1.21","72.89","3"
"122.923","-0.128","-0.038","0.913","10.44","19.96","-0.79","2.11","13.54","108.01","3"
"124.898","-0.119","-0.037","0.922","0.06","-0.06","0.0","3.19","10.08","122.19","3"
"126.897","-0.117","-0.036","0.923","0.0","0.0","0.0","3.21","8.79","126.66","2"
"128.891","-0.114","-0.035","0.922","0.0","0.0","0.0","3.25","8.31","128.19","2"
"130.875","-0.112","-0.035","0.924","0.0","0.0","0.0","3.28","8.09","128.61","2"
"132.873","-0.11","-0.034","0.924","0.0","0.0","0.0","3.32","7.88","129.03","2"
"134.87","-0.108","-0.033","0.925","0.0","0.0","0.0","3.36","7.72","129.08","2"
"136.848","-0.105","-0.033","0.924","0.0","0.0","0.0","3.37","7.55","129.38","2"
"138.882","-0.104","-0.033","0.925","0.0","0.0","0.0","3.39","7.42","129.35","2"
"140.838","-0.101","-0.032","0.925","0.0","0.0","0.0","3.42","7.26","129.61","2"
"142.867","-0.098","-0.033","0.925","0.0","0.0","0.0","3.43","7.08","129.95","2"
"144.822","-0.097","-0.033","0.925","0.0","0.0","0.0","3.45","6.9","130.47","2"
"146.811","-0.095","-0.037","0.925","0.0","0.0","0.0","3.47","6.77","130.62","2"
"148.833","-0.095","-0.033","0.925","0.0","0.0","0.0","3.48","6.67","130.7","2"
"150.789","-0.092","-0.033","0.926","0.0","0.0","0.0","3.49","6.6","130.74","2"
"152.819","-0.092","-0.032","0.927","0.0","0.0","0.0","3.5","6.51","130.8","2"
"154.795","-0.091","-0.032","0.928","0.0","0.0","0.0","3.51","6.41","130.96","2"
"156.772","-0.09","-0.03","0.927","0.0","0.0","0.0","3.53","6.3","131.24","2"
"158.797","-0.088","-0.032","0.927","0.0","0.0","0.0","3.54","6.23","131.23","2"
"160.799","-0.087","-0.03","0.928","0.0","0.0","0.0","3.54","6.14","131.5","2"
"162.744","-0.086","-0.03","0.928","0.0","0.0","0.0","3.55","6.05","131.68","2"
"164.748","-0.085","-0.03","0.928","0.0","0.0","0.0","3.57","5.96","132.0","2"
"166.733","-0.084","-0.031","0.928","0.0","0.0","0.0","3.58","5.88","132.17","2"
"168.723","-0.083","-0.03","0.929","0.0","0.0","0.0","3.59","5.8","132.27","2"
"170.763","-0.082","-0.031","0.929","0.0","0.0","0.0","3.59","5.73","132.38","2"
"172.754","-0.082","-0.03","0.929","0.0","0.0","0.0","3.61","5.64","132.65","2"
"174.725","-0.081","-0.029","0.928","0.0","0.0","0.0","3.61","5.6","132.62","2"
"176.727","-0.079","-0.031","0.928","0.0","0.0","0.0","3.61","5.54","132.66","2"
"178.701","-0.08","-0.03","0.929","0.0","0.0","0.0","3.61","5.5","132.6","2"
"180.692","-0.078","-0.03","0.929","0.0","0.0","0.0","3.63","5.43","132.84","2"
"182.703","-0.076","-0.03","0.928","0.0","0.0","0.0","3.62","5.36","132.91","2"
"184.679","-0.076","-0.029","0.929","0.0","0.0","0.0","3.63","5.29","132.92","2"
"186.676","-0.076","-0.029","0.929","0.0","0.0","0.0","3.64","5.21","133.21","2"
"188.677","-0.075","-0.029","0.928","0.0","0.0","0.0","3.64","5.15","133.34","2"
"190.661","-0.074","-0.029","0.929","0.0","0.0","0.0","3.65","5.13","133.23","2"
"192.655","-0.074","-0.029","0.93","0.0","0.0","0.0","3.66","5.09","133.36","2"
"194.632","-0.073","-0.03","0.93","0.0","0.0","0.0","3.66","5.05","133.3","2"
"196.64","-0.073","-0.03","0.929","0.0","0.0","0.0","3.66","5.04","133.26","2"
"198.626","-0.072","-0.029","0.93","0.0","0.0","0.0","3.66","5.03","133.09","2"
"200.615","-0.071","-0.028","0.929","0.0","0.0","0.0","3.67","4.98","133.15","2"
"202.598","-0.07","-0.029","0.93","","","","","","","2"
