"time","acc_x","acc_y","acc_z","w_x","w_y","w_z","ang_x","ang_y","ang_z","label"
"67.416","0.833","0.362","-0.633","-0.49","-0.12","0.24","143.31","-45.3","-4.61","3"
"69.348","0.84","0.358","-0.622","0.06","-0.31","0.0","142.98","-46.47","-6.58","1"
"71.327","0.845","0.358","-0.614","-0.12","-0.06","-0.06","142.73","-47.01","-6.46","1"
"73.353","0.906","0.326","-0.52","3.42","-4.64","-2.14","139.88","-51.8","1.33","1"
"75.32","0.902","0.337","-0.532","-0.18","-0.37","0.24","140.67","-51.51","2.14","1"
"77.308","0.903","0.333","-0.525","0.18","0.31","0.0","140.5","-51.88","2.69","1"
"79.297","1.024","0.238","-0.125","2.26","-7.75","1.16","112.23","-70.98","41.74","1"
"81.329","1.029","0.23","-0.103","2.75","-0.49","0.24","112.69","-70.95","47.64","0"
"83.33","1.034","0.215","-0.093","3.36","-3.48","2.62","111.73","-71.56","50.63","0"
"85.309","1.032","0.202","-0.061","4.33","-2.44","0.67","111.24","-72.97","56.91","0"
"87.279","1.034","0.209","-0.104","0.73","0.12","-0.06","116.72","-71.93","49.71","0"
"89.309","1.032","0.231","-0.118","-2.08","-3.97","1.77","116.7","-70.36","45.4","0"
"91.287","0.951","0.126","0.354","-0.43","-2.08","0.55","33.0","-68.02","135.64","0"
"93.28","0.93","0.118","0.395","0.37","-0.24","0.37","30.17","-66.67","140.17","2"
"95.238","0.942","0.12","0.363","0.98","1.53","-0.06","32.48","-68.27","139.01","2"
"97.259","0.978","0.14","0.269","0.0","13.85","-2.93","44.6","-72.0","126.63","2"
"99.263","1.023","0.244","-0.137","-0.61","33.75","-9.16","115.26","-69.55","48.8","3"
"101.233","0.822","0.36","-0.65","-0.06","-0.43","-0.12","144.07","-43.42","-0.12","3"
"103.234","0.835","0.352","-0.612","-0.61","-1.46","0.79","142.86","-46.99","-4.55","1"
"105.205","0.864","0.323","-0.51","2.5","-11.9","2.26","141.27","-53.37","0.54","1"
"107.23","0.945","0.294","-0.461","3.17","5.62","-4.52","140.23","-55.84","6.74","3"
"109.19","1.015","0.25","-0.163","0.98","-8.73","1.59","117.31","-69.69","34.71","1"
"111.207","1.035","0.243","-0.141","-0.06","-0.67","-0.06","116.94","-69.41","42.14","0"
"113.203","0.979","0.144","0.279","-0.12","-0.73","0.85","43.32","-71.5","126.41","0"
"115.185","0.973","0.14","0.294","0.0","-0.0","0.24","42.26","-71.3","128.16","2"
"117.188","0.974","0.14","0.281","0.98","-0.18","0.12","44.33","-71.89","126.68","2"
"119.158","0.994","0.142","0.243","0.85","5.86","-0.92","48.42","-72.84","122.03","2"
"121.163","1.03","0.227","-0.067","0.06","0.06","-0.06","108.98","-71.47","55.2","2"
"123.145","1.032","0.228","-0.082","0.0","-0.12","-0.06","111.33","-71.19","52.4","0"
"125.141","1.025","0.197","0.011","2.93","-16.11","4.88","97.19","-74.35","67.76","0"
"127.15","1.008","0.14","0.126","-3.3","1.77","-1.04","75.31","-76.6","94.6","3"
"129.128","1.016","0.015","-0.129","15.5","-6.77","7.75","155.99","-78.36","15.91","0"
"131.153","0.949","0.13","0.297","-2.38","-51.03","-4.82","38.3","-70.89","134.31","3"
"133.104","-0.72","0.083","0.607","26.18","-33.69","5.43","9.26","41.61","175.44","3"
"135.139","-0.794","0.34","0.363","1.77","0.06","-0.24","46.99","53.38","-175.37","3"
"137.096","0.417","0.24","0.853","-3.78","5.13","2.26","21.46","-21.02","126.61","2"
"139.082","0.379","0.339","0.889","55.24","65.86","-25.27","25.3","-19.26","149.51","2"
"141.086","0.45","0.358","0.818","-0.49","-1.16","1.22","29.49","-27.99","152.25","3"
"143.066","0.445","0.355","0.823","0.31","-0.85","-0.06","29.36","-28.1","153.83","2"
"145.065","0.445","0.353","0.817","-0.18","0.06","-0.92","28.82","-28.74","155.5","2"
"147.057","0.487","0.352","0.787","-0.06","0.85","0.0","30.1","-31.27","154.57","2"
"149.069","0.501","0.358","0.777","0.0","0.79","1.65","30.8","-31.22","153.45","2"
"151.064","0.493","0.363","0.791","-0.43","0.24","-0.37","30.85","-31.41","153.18","2"
"153.032","0.49","0.364","0.772","-0.79","-1.22","0.79","31.32","-31.41","152.67","2"
"155.047","0.495","0.377","0.801","-2.01","-1.4","-0.73","31.11","-31.42","152.98","2"
"157.018","0.646","0.202","0.586","-31.43","41.08","64.82","30.45","-46.4","153.53","2"
"159.033","0.491","0.244","0.816","30.21","61.77","37.72","22.59","-30.65","159.62","3"
"161.018","0.338","0.003","0.898","-3.66","-9.95","-1.28","5.6","-24.15","169.21","3"
"163.012","0.254","-0.055","0.912","-0.85","-1.71","-0.43","1.61","-18.4","167.39","3"
"164.991","0.13","0.14","0.939","-0.73","-1.59","-0.79","13.73","-9.94","159.26","2"
"167.001","0.149","0.183","0.932","-7.08","-2.01","3.78","16.59","-11.32","160.4","2"
"168.988","0.361","0.229","0.894","1.95","0.24","0.61","20.08","-23.19","157.55","2"
"170.989","0.435","0.254","0.849","1.46","-0.85","-1.1","22.34","-27.93","157.21","2"
"172.967","0.42","0.259","0.851","-0.24","-0.24","0.06","22.68","-27.21","158.05","2"
"174.973","0.419","0.262","0.852","-0.31","-0.0","0.24","22.77","-27.13","158.31","2"
"176.951","0.431","0.194","0.863","-1.65","4.33","11.23","18.75","-28.5","160.6","2"
"178.989","0.416","0.194","0.875","1.53","-0.85","-0.85","17.78","-27.5","162.54","3"
"180.952","-0.136","0.75","0.636","24.54","-19.9","-13.24","52.28","8.37","140.9","2"
"182.929","-0.081","0.562","0.798","-1.71","0.79","-0.79","40.68","3.9","151.08","3"
"184.935","-0.26","0.651","0.675","","","","","","","2"
